Ion = Helium      , Mass = 4.003
Tgt =  C +  H +  O +  N (Solid), Density = 1.06 g/cm3
Stopping Units = keV/(ug/cm2) 
Energy(keV)  S(Elec)    S(Nuc)
1.319E+03   2.111E+00  2.061E-03 
1.324E+03   2.108E+00  2.055E-03 
1.329E+03   2.104E+00  2.048E-03 
1.334E+03   2.101E+00  2.042E-03 
1.338E+03   2.097E+00  2.035E-03 
1.343E+03   2.094E+00  2.029E-03 
1.348E+03   2.091E+00  2.022E-03 
1.353E+03   2.087E+00  2.016E-03 
1.358E+03   2.084E+00  2.010E-03 
1.363E+03   2.081E+00  2.004E-03 
1.368E+03   2.077E+00  1.997E-03 
1.373E+03   2.074E+00  1.991E-03 
1.378E+03   2.071E+00  1.985E-03 
1.383E+03   2.067E+00  1.979E-03 
1.388E+03   2.064E+00  1.973E-03 
1.393E+03   2.061E+00  1.967E-03 
1.398E+03   2.057E+00  1.961E-03 
1.403E+03   2.054E+00  1.955E-03 
1.408E+03   2.051E+00  1.949E-03 
1.413E+03   2.048E+00  1.943E-03 
1.417E+03   2.044E+00  1.937E-03 
1.422E+03   2.041E+00  1.932E-03 
1.427E+03   2.038E+00  1.926E-03 
1.432E+03   2.035E+00  1.920E-03 
1.437E+03   2.031E+00  1.915E-03 
1.442E+03   2.028E+00  1.909E-03 
1.447E+03   2.025E+00  1.903E-03 
1.452E+03   2.022E+00  1.898E-03 
1.457E+03   2.019E+00  1.892E-03 
1.462E+03   2.015E+00  1.887E-03 
1.467E+03   2.012E+00  1.881E-03 
1.472E+03   2.009E+00  1.876E-03 
1.477E+03   2.006E+00  1.870E-03 
1.482E+03   2.003E+00  1.865E-03 
1.487E+03   1.999E+00  1.860E-03 
1.491E+03   1.996E+00  1.855E-03 
1.496E+03   1.993E+00  1.849E-03 
1.501E+03   1.990E+00  1.844E-03 
1.506E+03   1.987E+00  1.839E-03 
1.511E+03   1.984E+00  1.834E-03 
1.516E+03   1.981E+00  1.829E-03 
1.521E+03   1.978E+00  1.823E-03 
1.526E+03   1.974E+00  1.818E-03 
1.531E+03   1.971E+00  1.813E-03 
1.536E+03   1.968E+00  1.808E-03 
1.541E+03   1.965E+00  1.803E-03 
1.546E+03   1.962E+00  1.798E-03 
1.551E+03   1.959E+00  1.793E-03 
1.556E+03   1.956E+00  1.789E-03 
1.561E+03   1.953E+00  1.784E-03 
1.566E+03   1.950E+00  1.779E-03 
1.570E+03   1.947E+00  1.774E-03 
1.575E+03   1.944E+00  1.769E-03 
1.580E+03   1.941E+00  1.764E-03 
1.585E+03   1.938E+00  1.760E-03 
1.590E+03   1.935E+00  1.755E-03 
